,symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule,adj_up_end_schedule,adj_ups,close_ups,adj_downs,close_downs,close_up_start_schedule,close_up_end_schedule,close_up_percent_avg
0,NZSTF,NZX Ltd,0.6499999761581421,False,2009.0,,08-14,10-28,5.0,3.0,6.0,8.0,04-30,07-14,8.956597004241466
1,NZRIF,Nzuri Copper Ltd,$0.18 ,True,,No data fetched for symbol NZRIF using YahooDailyReader,,,,,,,,,
2,NZMEF,NZME Ltd,$0.30 ,True,,No data fetched for symbol NZMEF using YahooDailyReader,,,,,,,,,
3,NZIH,NZJ Holdings Inc,0.011099999770522118,True,2012.0,,,,,,,,,,
4,ZPCM,NZCH Corp,0.019999999552965164,True,2012.0,,,,,,,,,,
5,NZWFF,NZ Windfarms Ltd,$0.08 ,True,,No data fetched for symbol NZWFF using YahooDailyReader,,,,,,,,,
6,NXXYF,NYX Gaming Group Ltd,$1.89 ,True,,No data fetched for symbol NXXYF using YahooDailyReader,,,,,,,,,
7,NYRSY,Nyrstar NV,0.2761000096797943,True,2012.0,,,,,,,,,,
8,NYRSF,Nyrstar NV,$0.39 ,True,,No data fetched for symbol NYRSF using YahooDailyReader,,,,,,,,,
9,NYMX,Nymox Pharmaceutical Corp,1.9800000190734863,False,2009.0,,08-19,11-02,6.0,6.0,5.0,5.0,08-19,11-02,3.1104337963497586
10,NYLE,Nyle International Corp,0.03999999910593033,True,2012.0,,,,,,,,,,
11,NXTD,Nxt-ID Inc,0.3569999933242798,True,2013.0,,,,,,,,,,
12,NSFDF,NXT Energy Solutions Inc,0.3400000035762787,False,2009.0,,05-21,08-04,5.0,5.0,6.0,6.0,05-21,08-04,13.255322364915173
13,NXTM,NxStage Medical Inc,$30.00 ,True,,No data fetched for symbol NXTM using YahooDailyReader,,,,,,,,,
14,NXPI,NXP Semiconductors NV,148.14999389648438,False,2010.0,,09-26,12-10,8.0,8.0,2.0,2.0,09-26,12-10,10.277369246192624
15,NXGB,NxGen Brands Inc,0.16500000655651093,True,2012.0,,,,,,,,,,
16,NXCN,NXChain Inc,$0.21 ,True,,No data fetched for symbol NXCN using YahooDailyReader,,,,,,,,,
17,NWSZF,NWS Holdings Ltd,0.875,True,2013.0,,,,,,,,,,
18,NWSGY,NWS Holdings Ltd,9.130000114440918,True,2013.0,,,,,,,,,,
19,NVR,NVR Inc,4290.27001953125,False,2009.0,,10-17,12-31,9.0,9.0,2.0,2.0,10-17,12-31,7.052726689686573
20,NVDA,NVIDIA Corp,537.1500244140625,False,2009.0,,07-06,09-19,8.0,8.0,3.0,3.0,07-06,09-19,12.61864310832317
21,NVES,Nvest Inc,0.023099999874830246,True,2014.0,,,,,,,,,,
22,NVT,nVent Electric PLC,21.559999465942383,True,2018.0,,,,,,,,,,
23,NVEC,NVE Corp,51.400001525878906,False,2009.0,,10-26,01-09,3.0,3.0,8.0,8.0,11-02,01-16,6.415643835705555
24,NVCP,NVCN Corp,0.017000000923871994,True,2012.0,,,,,,,,,,
25,NVEE,NV5 Global Inc,75.9800033569336,True,2013.0,,,,,,,,,,
26,NVGLF,NV Gold Corp,0.2199999988079071,True,2014.0,,,,,,,,,,
27,BEKSF,NV Bekaert SA,$30.00 ,True,,No data fetched for symbol BEKSF using YahooDailyReader,,,,,,,,,
28,BEKAY,NV Bekaert SA,$2.61 ,True,,No data fetched for symbol BEKAY using YahooDailyReader,,,,,,,,,
29,NUZE,Nuzee Inc,14.050000190734863,True,2020.0,,,,,,,,,,
30,NUVG,Nuvus Gro Corp,0.017999999225139618,True,2018.0,,,,,,,,,,
31,NRIFF,Nuvo Pharmaceuticals Inc,0.6700000166893005,False,2010.0,,12-13,02-26,5.0,5.0,5.0,5.0,12-13,02-26,13.141627682873207
32,NUVSF,NuVista Energy Ltd,0.6499999761581421,False,2010.0,,03-26,06-09,6.0,6.0,4.0,4.0,03-26,06-09,9.182675520109276
33,NUVM,NuVim Inc,0.005799999926239252,True,2012.0,,,,,,,,,,
34,NES,Nuverra Environmental Solutions Inc,2.140000104904175,True,2017.0,,,,,,,,,,
35,NESCQ,Nuverra Environmental Solutions Inc,$0.02 ,True,,'Date',,,,,,,,,
36,NUVR,Nuvera Communications Inc,18.0,False,2009.0,,03-31,06-14,6.0,4.0,5.0,7.0,03-26,06-09,5.727456711876713
37,NUVCF,Nuvei Corp,42.11790084838867,True,2020.0,,,,,,,,,,
38,NPV,Nuveen Virginia Quality Municipal Income Fund,15.34000015258789,False,2009.0,,03-15,05-29,6.0,6.0,5.0,5.0,03-16,05-30,3.242905442583609
39,NBB,Nuveen Taxable Municipal Income Fund,22.100000381469727,False,2010.0,,03-19,06-02,5.0,3.0,5.0,7.0,06-25,09-08,2.9508134085114177
40,JTD,Nuveen Tax-advantaged Dividend Gr Fund,13.579999923706055,False,2009.0,,05-06,07-20,7.0,5.0,4.0,6.0,03-23,06-06,7.3008846743020355
41,JTA,Nuveen Tax Advantaged Total Ret Strat Fd,8.819999694824219,False,2009.0,,12-10,02-23,7.0,7.0,4.0,4.0,12-12,02-25,3.948122316307483
42,JSD,Nuveen Short Duration Credit Opps,12.229999542236328,True,2011.0,,,,,,,,,,
43,NSL,Nuveen Senior Income Fund,4.949999809265137,False,2009.0,,12-13,02-26,10.0,8.0,1.0,3.0,12-15,02-28,3.9149814292429066
44,NXP,Nuveen Select Tax Free Income Portfolio,16.790000915527344,False,2009.0,,03-15,05-29,7.0,6.0,4.0,5.0,03-16,05-30,2.504293119774764
45,NXR,Nuveen Select Tax Free Income Port 3,16.520000457763672,False,2009.0,,03-24,06-07,6.0,5.0,5.0,6.0,03-15,05-29,2.6796216203711443
46,NXQ,Nuveen Select Tax Free Income Port 2,15.109999656677246,False,2009.0,,03-15,05-29,8.0,5.0,3.0,6.0,03-15,05-29,3.1763220063165902
47,NIM,Nuveen Select Maturities Municipal Fund,10.520000457763672,False,2009.0,,06-21,09-04,6.0,5.0,5.0,6.0,06-21,09-04,1.786642152288314
48,SPXX,Nuveen S&P 500 Dynamic Overwrite Fund,14.479999542236328,False,2009.0,,10-28,01-11,8.0,6.0,3.0,5.0,03-24,06-07,4.701724509996944
49,BXMX,Nuveen S&P 500 Buy-Write Income Fund,12.199999809265137,False,2009.0,,05-07,07-21,8.0,6.0,3.0,5.0,03-23,06-06,4.6350279483096655
50,JRS,Nuveen Real Estate Income Fund,8.25,False,2009.0,,02-19,05-04,8.0,6.0,3.0,5.0,03-19,06-02,7.815933275068018
51,JRI,Nuveen Real Asset Income and Growth Fund,12.789999961853027,True,2012.0,,,,,,,,,,
52,NAD,Nuveen Quality Municipal Income Fund,14.770000457763672,False,2009.0,,03-15,05-29,7.0,4.0,4.0,7.0,03-15,05-29,3.6021473739486862
53,JPI,Nuveen Preferred and Income Term Fund,23.209999084472656,True,2012.0,,,,,,,,,,
54,JPT,Nuveen Preferred and Income 2022 Term,23.690000534057617,True,2017.0,,,,,,,,,,
55,JPS,Nuveen Preferred & Income Securities Fund,9.149999618530273,False,2009.0,,11-12,01-26,8.0,7.0,3.0,4.0,02-19,05-04,2.0389816577739244
56,JPC,Nuveen Preferred & Income Opportunities Fund,8.859999656677246,False,2009.0,,03-18,06-01,8.0,7.0,3.0,4.0,02-22,05-07,3.3336978740560497
57,NQP,Nuveen Pennsylvania Quality Municipal Income Fund,13.850000381469727,False,2009.0,,03-15,05-29,6.0,6.0,5.0,5.0,03-19,06-02,4.124830186421817
58,NPN,Nuveen Pennsylvania Municipal Value Fund,14.460000038146973,False,2009.0,,11-13,01-27,7.0,6.0,4.0,5.0,11-13,01-27,2.599863541637793
59,NUO,Nuveen Ohio Quality Municipal Income Fund,15.399999618530273,False,2009.0,,06-25,09-08,7.0,5.0,4.0,6.0,06-25,09-08,1.808304429865272
60,NXN,Nuveen NY Select Tax-Free Income Port,12.9399995803833,False,2009.0,,03-15,05-29,8.0,6.0,3.0,5.0,03-15,05-29,1.8506821615373945
61,NYV,Nuveen NY Municipal Value Fund 2,14.710000038146973,False,2009.0,,12-15,02-28,8.0,7.0,3.0,4.0,12-20,03-05,2.100983817198054
62,NJV,Nuveen NJ Municipal Value Fund,14.100000381469727,False,2009.0,,11-13,01-27,6.0,5.0,5.0,6.0,11-13,01-27,2.126204133994702
63,NAN,Nuveen New York Quality Municipal Income Fund,13.529999732971191,False,2009.0,,03-21,06-04,7.0,6.0,4.0,5.0,03-15,05-29,3.1685558076940605
64,NNY,Nuveen New York Municipal Value Fund Inc,9.989999771118164,False,2009.0,,03-19,06-02,8.0,5.0,3.0,6.0,03-15,05-29,2.5076585464437318
65,NRK,Nuveen New York AMT-Free Quality Municipal Income,13.069999694824219,False,2009.0,,03-19,06-02,8.0,6.0,3.0,5.0,03-19,06-02,3.87053084382028
66,NXJ,Nuveen New Jersey Quality Municipal Income Fund,13.890000343322754,False,2009.0,,03-15,05-29,6.0,6.0,5.0,5.0,03-18,06-01,4.175815848947231
67,QQQX,Nuveen NASDAQ 100 Dynamic Overwrite Fund,24.850000381469727,False,2009.0,,02-28,05-13,8.0,7.0,3.0,4.0,09-24,12-08,4.534589523070793
68,NUV,Nuveen Municipal Value Fund Inc,10.90999984741211,False,2009.0,,03-23,06-06,8.0,5.0,3.0,6.0,03-15,05-29,2.5895597008541564
69,NMI,Nuveen Municipal Income Fund Inc,11.390000343322754,False,2009.0,,11-13,01-27,9.0,8.0,2.0,3.0,12-21,03-06,2.973625875233115
70,NMZ,Nuveen Municipal High Income Opp Fund,13.489999771118164,False,2009.0,,11-13,01-27,8.0,6.0,3.0,5.0,12-15,02-28,3.3548933803100986
71,NMCO,Nuveen Municipal Credit Opps Fund,12.199999809265137,True,2019.0,,,,,,,,,,
72,NZF,Nuveen Municipal Credit Income Fund,15.300000190734863,False,2009.0,,03-15,05-29,7.0,6.0,4.0,5.0,03-15,05-29,3.618856573791666
73,NHA,Nuveen Municipal 2021 Target Term Fund,9.710000038146973,True,2016.0,,,,,,,,,,
74,JMM,Nuveen Multi-Market Income Fund,7.090000152587891,False,2009.0,,11-12,01-26,8.0,7.0,3.0,4.0,11-17,01-31,2.5016767776925812
75,JLS,Nuveen Mortgage And Income Fund,18.790000915527344,False,2009.0,,11-04,01-18,8.0,6.0,3.0,5.0,12-15,02-28,2.1076926486202443
76,NOM,Nuveen Missouri Quality Municipal Income Fund,14.239999771118164,False,2009.0,,01-02,03-17,10.0,10.0,1.0,1.0,01-02,03-17,4.9229411535256125
77,NMS,Nuveen Minnesota Quality Municipal Income Fund,14.789999961853027,True,2014.0,,,,,,,,,,
78,NUM,Nuveen MI Quality Income Muni Fund Inc,14.300000190734863,False,2009.0,,03-19,06-02,7.0,6.0,4.0,5.0,03-21,06-04,4.544883310726694
