,symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule,adj_up_end_schedule,adj_ups,close_ups,adj_downs,close_downs,close_up_start_schedule,close_up_end_schedule,close_up_percent_avg
0,UBAZF,Uzabase Inc,20.25,True,2019.0,,,,,,,,,,
1,UXIN,Uxin Ltd,1.350000023841858,True,2018.0,,,,,,,,,,
2,UXCLF,UXC Ltd,$0.88 ,True,,'Date',,,,,,,,,
3,UWHR,Uwharrie Capital Corp,5.25,False,2009.0,,01-18,04-02,2.0,2.0,9.0,9.0,01-18,04-02,7.3614920598849825
4,UVFT,UV Flu Technologies Inc,0.013700000010430813,False,2009.0,,04-11,06-25,7.0,7.0,4.0,4.0,04-11,06-25,13.825824558685307
5,UTZ,Utz Brands Inc,19.100000381469727,True,2020.0,,,,,,,,,,
6,UTSI,UTStarcom Holdings Corp,0.949999988079071,False,2009.0,,08-06,10-20,3.0,3.0,8.0,8.0,08-06,10-20,6.3405777194602635
7,UOEMF,Utilico Emerging Markets Trust PLC,$1.55 ,True,,No data fetched for symbol UOEMF using YahooDailyReader,,,,,,,,,
8,UTIW,UTi Worldwide Inc,$7.09 ,True,,'Date',,,,,,,,,
9,UTGN,UTG Inc,25.0,False,2009.0,,05-05,07-19,3.0,3.0,8.0,8.0,05-05,07-19,7.591440254242246
10,UTMD,Utah Medical Products Inc,84.44000244140625,False,2009.0,,09-13,11-27,5.0,5.0,6.0,6.0,09-13,11-27,5.2382017616500205
11,USPI,USSPI Media Inc,$0.23 ,True,,'Date',,,,,,,,,
12,USSJY,USS Co Ltd,29.049999237060547,True,2012.0,,,,,,,,,,
13,USSJF,USS Co Ltd,17.049999237060547,True,2012.0,,,,,,,,,,
14,USMD,USMD Holdings Inc,$22.64 ,True,,'Date',,,,,,,,,
15,USIO,Usio Inc,1.5700000524520874,False,2009.0,,07-11,09-24,6.0,6.0,5.0,5.0,07-11,09-24,11.839085101758794
16,USNZY,"Usinas Siderurgicas de Minas Gerais,S.A.",2.0799999237060547,False,2010.0,,08-27,11-10,6.0,6.0,4.0,4.0,08-27,11-10,5.399889574051364
17,USDMY,"Usinas Siderurgicas de Minas Gerais,S.A.",$13.12 ,True,,No data fetched for symbol USDMY using YahooDailyReader,,,,,,,,,
18,UHOIF,Ushio Inc,12.65999984741211,True,2015.0,,,,,,,,,,
19,USHAF,Usha Resources Ltd,0.20000000298023224,True,2020.0,,,,,,,,,,
20,USGPF,USG People BV,$18.89 ,True,,'Date',,,,,,,,,
21,USDP,USD Partners LP,3.3399999141693115,True,2014.0,,,,,,,,,,
22,UCMDF,USCOM Ltd,$0.10 ,True,,No data fetched for symbol UCMDF using YahooDailyReader,,,,,,,,,
23,USNA,Usana Health Sciences Inc,74.81999969482422,False,2009.0,,05-13,07-27,3.0,3.0,8.0,8.0,05-13,07-27,3.9297292307975096
24,USAB,USAmeribancorp Inc,$75.00 ,True,,No data fetched for symbol USAB using YahooDailyReader,,,,,,,,,
25,ZMDC,USA Zhimingde International Group Corp,0.15000000596046448,True,2012.0,,,,,,,,,,
26,USAK,USA Truck Inc,9.779999732971191,False,2009.0,,12-19,03-04,8.0,8.0,3.0,3.0,12-19,03-04,6.4315094090719676
27,USAT,USA Technologies Inc,8.260000228881836,False,2009.0,,11-15,01-29,6.0,6.0,5.0,5.0,11-15,01-29,13.284860979611025
28,USRI,USA Recycling Industries Inc,0.03500000014901161,True,2012.0,,,,,,,,,,
29,USAQ,USA Equities Corp,0.550000011920929,True,2013.0,,,,,,,,,,
30,USAC,USA Compression Partners LP,11.960000038146973,True,2013.0,,,,,,,,,,
31,USDF,US-DADI Fertilizer Industry International Inc,0.008249999955296516,True,2013.0,,,,,,,,,,
32,UCBB,US-China Biomedical Technology Inc,0.05999999865889549,True,2013.0,,,,,,,,,,
33,USVR,US VR Global.com Inc,$50.00 ,True,,No data fetched for symbol USVR using YahooDailyReader,,,,,,,,,
34,USRM,US Stem Cell Inc,0.007000000216066837,True,2015.0,,,,,,,,,,
35,SLCA,US Silica Holdings Inc,4.21999979019165,True,2012.0,,,,,,,,,,
36,USPH,US Physical Therapy Inc,106.55999755859375,False,2009.0,,04-06,06-20,7.0,7.0,4.0,4.0,04-06,06-20,10.036432828401852
37,USPE,US Personnel Inc,$0.01 ,True,,No data fetched for symbol USPE using YahooDailyReader,,,,,,,,,
