,symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule,adj_up_end_schedule,adj_ups,close_ups,adj_downs,close_downs,close_up_start_schedule,close_up_end_schedule,close_up_percent_avg
0,OZSC,Ozop Surgical Corp,0.00595,TRUE,2017,,,,,,,,,,
1,OZMLF,Oz Minerals Ltd,10.77999973,FALSE,2010,,5-Dec,18-Feb,6,6,4,4,5-Dec,18-Feb,7.084582282
2,OYST,Oyster Point Pharma Inc,21.70999908,TRUE,2019,,,,,,,,,,
3,OYOCF,OYO Corp,12.44299984,TRUE,2017,,,,,,,,,,
4,OXYS,OxySure Therapeutics Inc,0.031750001,TRUE,2012,,,,,,,,,,
5,TBGNF,Oxurion NV,2.660000086,FALSE,2009,,3-Jan,18-Mar,8,8,3,3,3-Jan,18-Mar,9.078329037
6,OXSQ,Oxford Square Capital Corp,2.839999914,FALSE,2009,,5-Apr,19-Jun,7,7,4,4,16-Dec,1-Mar,4.522802518
7,OXLC,Oxford Lane Capital Corp,4.650000095,TRUE,2011,,,,,,,,,,
8,OXINF,Oxford Instruments PLC,21.35000038,TRUE,2012,,,,,,,,,,
9,OXM,Oxford Industries Inc,56.40000153,FALSE,2009,,27-Jun,10-Sep,7,7,4,4,9-Jul,22-Sep,9.190244016
10,OXFD,Oxford Immunotec Global PLC,13.72000027,TRUE,2013,,,,,,,,,,
11,OXFC,Oxford City Football Club Inc,$10.05 ,TRUE,,No data fetched for symbol OXFC using YahooDailyReader,,,,,,,,,
12,OXBDF,Oxford BioMedica PLC,11.44999981,FALSE,2009,,5-Mar,19-May,7,7,3,3,5-Mar,19-May,-3.148366497
13,OXBC,Oxford Bank Corp,21.25,FALSE,2009,,21-Mar,4-Jun,7,7,4,4,21-Mar,4-Jun,8.168756681
14,CMMCF,OXE Marine AB,0.209000006,TRUE,2020,,,,,,,,,,
15,OXBR,Oxbridge Re Holdings Ltd,1.620000005,TRUE,2014,,,,,,,,,,
16,ORCC,Owl Rock Capital Corp,13.59000015,TRUE,2019,,,,,,,,,,
17,OC,Owens-Corning Inc,72.55999756,FALSE,2009,,9-Nov,23-Jan,7,7,4,4,9-Nov,23-Jan,9.226774956
18,ORM,Owens Realty Mortgage Inc,$21.75 ,TRUE,,No data fetched for symbol ORM using YahooDailyReader,,,,,,,,,
19,OMI,Owens & Minor Inc,23.17000008,FALSE,2009,,11-Aug,25-Oct,5,5,6,6,10-Aug,24-Oct,8.684431423
20,OWCP,OWC Pharmaceutical Research Corp,0.0085,FALSE,2009,,23-Dec,8-Mar,6,6,5,5,23-Dec,8-Mar,-23.02555745
21,LVGAF,Ovivo Inc,$3.04 ,TRUE,,'Date',,,,,,,,,
22,OVV,Ovintiv Inc,12.27000046,FALSE,2009,,9-Mar,23-May,6,6,5,5,9-Mar,23-May,14.97125207
23,OVID,Ovid Therapeutics Inc,6.010000229,TRUE,2017,,,,,,,,,,
24,OSTK,Overstock.com Inc,57.31999969,FALSE,2009,,16-May,30-Jul,3,3,8,8,16-May,30-Jul,15.65905368
25,OSG,Overseas Shipholding Group Inc,2.099999905,TRUE,2016,,,,,,,,,,
26,OSGB,Overseas Shipholding Group Inc,$1.85 ,TRUE,,'Date',,,,,,,,,
27,OVCHY,Oversea-Chinese Banking Corp Ltd,14.81000042,FALSE,2010,,19-Feb,4-May,7,7,3,3,14-Feb,29-Apr,5.539159197
28,OVCHF,Oversea-Chinese Banking Corp Ltd,7.244999886,TRUE,2012,,,,,,,,,,
29,PMPLF,Ovato Ltd,$0.35 ,TRUE,,'Date',,,,,,,,,
30,OVATF,Ovation Science Inc,0.27579999,TRUE,2019,,,,,,,,,,
31,OM,Outset Medical Inc,56.45999908,TRUE,2020,,,,,,,,,,
32,OUTKY,Outokumpu Oyj,1.25,TRUE,2012,,,,,,,,,,
33,OUTFF,Outokumpu Oyj,2.549999952,TRUE,2012,,,,,,,,,,
34,OTLK,Outlook Therapeutics Inc,1.110000014,TRUE,2016,,,,,,,,,,
35,OUT,Outfront Media Inc,18.11000061,TRUE,2014,,,,,,,,,,
36,OUTR,Outerwall Inc,$52.00 ,TRUE,,'Date',,,,,,,,,
37,MRDDF,Outcrop Gold Corp,0.370000005,FALSE,2009,,27-Jun,10-Sep,3,3,8,8,27-Jun,10-Sep,8.222088149
38,OUTB,Outback Oil & Mineral Exploration Corp,0.07,TRUE,2012,,,,,,,,,,
39,OPCO,Ourpet?s Co,$1.00 ,TRUE,,No data fetched for symbol OPCO using YahooDailyReader,,,,,,,,,
40,ORNT,Ournett Holdings Inc,1,TRUE,2016,,,,,,,,,,
41,OVUNF,OUE Ltd,$1.66 ,TRUE,,No data fetched for symbol OVUNF using YahooDailyReader,,,,,,,,,
42,OSPQF,OUE Hospitality Trust,$0.47 ,TRUE,,No data fetched for symbol OSPQF using YahooDailyReader,,,,,,,,,
43,OTTEF,Otto Energy Ltd,0.005,FALSE,2010,,27-Jul,10-Oct,4,4,6,6,27-Jul,10-Oct,-22.05409272
44,OTTR,Otter Tail Corp,41.27999878,FALSE,2009,,5-Oct,19-Dec,5,5,6,6,1-Sep,15-Nov,4.938047807
45,OTTW,Ottawa Bancorp Inc,13.10000038,FALSE,2009,,17-Feb,2-May,5,5,6,6,17-Feb,2-May,7.745787828
46,OTSUF,Otsuka Kagu Ltd,$13.10 ,TRUE,,No data fetched for symbol OTSUF using YahooDailyReader,,,,,,,,,
47,OTSKY,Otsuka Holdings Co Ltd,20.55200005,TRUE,2012,,,,,,,,,,
48,OTSKF,Otsuka Holdings Co Ltd,38.09999847,TRUE,2012,,,,,,,,,,
49,OSUKF,Otsuka Corp,49.20000076,TRUE,2017,,,,,,,,,,
50,FIEIF,Otso Gold Corp,0.038180001,TRUE,2018,,,,,,,,,,
51,OTPGF,OTP Bank PLC,13.75,FALSE,2010,,7-Jul,20-Sep,0,0,8,8,7-Jul,20-Sep,7.315808982
52,OTPBF,OTP Bank PLC,30.67959976,TRUE,2015,,,,,,,,,,
53,OTIC,Otonomy Inc,4.300000191,TRUE,2014,,,,,,,,,,
54,OTIS,Otis Worldwide Corp,66.62999725,TRUE,2020,,,,,,,,,,
55,OGLDF,Otis Gold Corp,$0.08 ,TRUE,,No data fetched for symbol OGLDF using YahooDailyReader,,,,,,,,,
56,OPESY,Otello Corp ASA,$3.11 ,TRUE,,No data fetched for symbol OPESY using YahooDailyReader,,,,,,,,,
57,OPESF,Otello Corp ASA,1.870000005,FALSE,2009,,24-May,7-Aug,8,8,3,3,24-May,7-Aug,7.367770249
58,OTEL,Otelco Inc,11.47999954,FALSE,2009,,27-Aug,10-Nov,5,5,6,6,27-Aug,10-Nov,4.565764988
59,OTCPF,OTEC Corp,$8.70 ,TRUE,,No data fetched for symbol OTCPF using YahooDailyReader,,,,,,,,,
60,OTCM,OTC Markets Group Inc,33.59999847,FALSE,2010,,2-Nov,16-Jan,6,6,4,4,15-Sep,29-Nov,4.098253305
61,OSKA,Osyka Corp,0.016000001,FALSE,2009,,11-Sep,25-Nov,4,4,7,7,11-Sep,25-Nov,24.47543975
62,OLGXF,Osteologix Holdings PLC,0.0076,TRUE,2012,,,,,,,,,,
63,OSSFF,Ossur hf,6.579999924,TRUE,2019,,,,,,,,,,
64,OSSUY,Ossur hf,7.300000191,TRUE,2018,,,,,,,,,,
65,OSN,Ossen Innovation Co Ltd,4.400000095,FALSE,2010,,11-Apr,25-Jun,4,4,6,6,11-Apr,25-Jun,3.128699289
66,OSSDF,OssDsign AB,1.799999952,TRUE,2020,,,,,,,,,,
67,OSAGY,OSRAM Licht AG,22.37000084,TRUE,2014,,,,,,,,,,
68,OSAGF,OSRAM Licht AG,60.18000031,TRUE,2013,,,,,,,,,,
69,SFTW,Osprey Technology Acquisition Corp,10.08300018,TRUE,2019,,,,,,,,,,
70,OSSPF,Osprey Gold Development Ltd,0.059,TRUE,2017,,,,,,,,,,
71,OSPR,Osprey Energy Acquisition Corp,$11.29 ,TRUE,,No data fetched for symbol OSPR using YahooDailyReader,,,,,,,,,
72,OSOPF,Osotspa PCL,1.179999948,TRUE,2020,,,,,,,,,,
73,OSMT,Osmotica Pharmaceuticals PLC,6.03000021,TRUE,2018,,,,,,,,,,
74,OSBHF,Oslo Bors VPS Holding ASA,$18.60 ,TRUE,,No data fetched for symbol OSBHF using YahooDailyReader,,,,,,,,,
75,OBNNF,Osisko Mining Inc,2.700000048,TRUE,2016,,,,,,,,,,
76,OMZNF,Osisko Metals Incorporated,0.300000012,TRUE,2013,,,,,,,,,,
77,OR,Osisko Gold Royalties Ltd,10.81000042,TRUE,2016,,,,,,,,,,
78,OSIR,Osiris Therapeutics Inc,$18.99 ,TRUE,,No data fetched for symbol OSIR using YahooDailyReader,,,,,,,,,
79,OSRS,Osiris Corp,0.090000004,FALSE,2009,,3-Jul,16-Sep,2,2,7,7,3-Jul,16-Sep,-511.0430807
80,OSIIF,Osino Resources Corp,1.010050058,TRUE,2018,,,,,,,,,,
81,OSMIF,Osim International Ltd,$0.97 ,TRUE,,No data fetched for symbol OSMIF using YahooDailyReader,,,,,,,,,
82,OMIMY,Osim International Ltd,$10.43 ,TRUE,,No data fetched for symbol OMIMY using YahooDailyReader,,,,,,,,,
