,symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule,adj_up_end_schedule,adj_ups,close_ups,adj_downs,close_downs,close_up_start_schedule,close_up_end_schedule,close_up_percent_avg
0,PZN,Pzena Investment Management Inc,6.389999866485596,False,2009.0,,09-08,11-22,6.0,5.0,5.0,6.0,09-08,11-22,8.444954473353997
1,PZCUY,PZ Cussons PLC,5.619999885559082,True,2014.0,,,,,,,,,,
2,PZCUF,PZ Cussons PLC,$2.60 ,True,,No data fetched for symbol PZCUF using YahooDailyReader,,,,,,,,,
3,PYYX,Pyxus International Inc,4.599999904632568,True,2020.0,,,,,,,,,,
4,PYXSQ,Pyxus International Inc,0.15000000596046448,False,2009.0,,01-29,04-13,6.0,6.0,5.0,5.0,01-29,04-13,3.0561461562700125
5,PXS,Pyxis Tankers Inc,0.8734999895095825,True,2015.0,,,,,,,,,,
6,PYROF,Pyrolyx AG,2.5866000652313232,True,2019.0,,,,,,,,,,
7,PYRNF,PyroGenesis Canada Inc,2.880000114440918,True,2011.0,,,,,,,,,,
8,PYNGF,Pyng Medical Corp,$0.30 ,True,,'Date',,,,,,,,,
9,PXPEF,PXP Energy Corp,0.10000000149011612,True,2018.0,,,,,,,,,,
10,PWCO,PwrCor Inc,0.07445000112056732,True,2012.0,,,,,,,,,,
11,PMTHF,PW Medtech Group Ltd,$0.23 ,True,,No data fetched for symbol PMTHF using YahooDailyReader,,,,,,,,,
12,PVH,PVH Corp,78.53500366210938,False,2009.0,,02-11,04-26,7.0,7.0,4.0,4.0,02-11,04-26,8.076656352566468
13,TPLKF,PVA TePla AG,16.5,True,2012.0,,,,,,,,,,
14,PVNNF,PV Nano Cell Ltd,0.14000000059604645,True,2017.0,,,,,,,,,,
15,PVCRF,PV Crystalox Solar PLC,0.8100000023841858,True,2013.0,,,,,,,,,,
16,PUYI,Puyi Inc,5.849999904632568,True,2019.0,,,,,,,,,,
17,NEW,Puxin Ltd,7.460000038146973,True,2018.0,,,,,,,,,,
18,PPT,Putnam Premier Income Trust,4.635000228881836,False,2009.0,,02-22,05-07,9.0,9.0,2.0,2.0,01-20,04-04,-0.3106400925307267
19,PMO,Putnam Municipal Opportunities Trust,13.369500160217285,False,2009.0,,03-15,05-29,7.0,6.0,4.0,5.0,06-08,08-22,1.7584358856825943
20,PIM,Putnam Master Intermediate Income Trust,4.150000095367432,False,2009.0,,02-28,05-13,9.0,8.0,2.0,3.0,01-25,04-09,-0.484064650748521
21,PMM,Putnam Managed Municipal Income Trust,7.880000114440918,False,2009.0,,03-15,05-29,8.0,7.0,3.0,4.0,03-15,05-29,2.85508722514822
22,PUNB,Putnam County National Bank,$105.00 ,True,,No data fetched for symbol PUNB using YahooDailyReader,,,,,,,,,
23,PHPYF,Pushpay Holdings Ltd,5.019999980926514,True,2016.0,,,,,,,,,,
24,PUSOF,Pushfor Investments Inc,0.027400000020861626,True,2019.0,,,,,,,,,,
25,PRPPF,Purplebricks Group PLC,0.7799999713897705,True,2016.0,,,,,,,,,,
26,PRPL,Purple Innovation Inc,29.68000030517578,True,2015.0,,,,,,,,,,
27,PUFLF,Purifloh Ltd,3.0899999141693115,True,2019.0,,,,,,,,,,
28,WTRSY,Purifloh Ltd,$0.05 ,True,,No data fetched for symbol WTRSY using YahooDailyReader,,,,,,,,,
29,PRTC,PureTech Health PLC,40.209999084472656,True,2020.0,,,,,,,,,,
