,symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule,adj_up_end_schedule,adj_ups,close_ups,adj_downs,close_downs,close_up_start_schedule,close_up_end_schedule,close_up_percent_avg
0,EZCL,Ezy Cloud Holding Inc,0.349999994,TRUE,2017,,,,,,,,,,
1,EZTD,EZTD Inc,0.006,FALSE,2010,,24-Sep,8-Dec,4,4,6,6,24-Sep,8-Dec,0.014646555
2,EZRHY,Ezra Holdings Ltd,$0.81 ,TRUE,,No data fetched for symbol EZRHY using YahooDailyReader,,,,,,,,,
3,EZEN,Ezenia! Inc,0.038389999,TRUE,2012,,,,,,,,,,
4,EZPW,EZCORP Inc,5.25,FALSE,2009,,1-Nov,15-Jan,7,7,4,4,1-Nov,15-Jan,0.33107847
5,EZCH,EZChip Semiconductor Ltd,$25.49 ,TRUE,,'Date',,,,,,,,,
6,EZOO,Ezagoo Ltd,2.380000114,TRUE,2020,,,,,,,,,,
7,EZTCF,EZ TEC Empreendimentos e Participacoes SA,3.798810005,TRUE,2017,,,,,,,,,,
8,PSIZF,EyePoint Pharmaceuticals Inc,1.99000001,TRUE,2013,,,,,,,,,,
9,EYPT,EyePoint Pharmaceuticals Inc,0.411000013,FALSE,2009,,7-Apr,21-Jun,7,7,4,4,7-Apr,21-Jun,12.72658682
10,EYEN,Eyenovia Inc,3.440000057,TRUE,2018,,,,,,,,,,
11,EYEG,Eyegate Pharmaceuticals Inc,3.400000095,TRUE,2015,,,,,,,,,,
12,XOM,Exxon Mobil Corp,38.72999954,FALSE,2009,,31-Aug,14-Nov,5,5,6,6,25-Aug,8-Nov,3.612156027
13,AXXA,Exxe Group Inc,0.00965,TRUE,2014,,,,,,,,,,
14,EXXAY,Exxaro Resources Ltd,8.100000381,FALSE,2010,,8-Dec,21-Feb,5,5,5,5,8-Dec,21-Feb,11.74320354
15,EXXAF,Exxaro Resources Ltd,8.079999924,TRUE,2013,,,,,,,,,,
16,CRYBF,Extreme Vehicle Battery Technologies Corp,0.025,TRUE,2016,,,,,,,,,,
17,EXTR,Extreme Networks Inc,5.659999847,FALSE,2009,,22-Oct,5-Jan,6,6,5,5,22-Oct,5-Jan,12.46571646
18,XOGAQ,Extraction Oil & Gas Inc,0.059999999,TRUE,2016,,,,,,,,,,
19,EQSHY,eXtract Group Ltd,$0.13 ,TRUE,,No data fetched for symbol EQSHY using YahooDailyReader,,,,,,,,,
20,EXR,Extra Space Storage Inc,117.3300018,FALSE,2009,,20-Mar,3-Jun,8,8,3,3,20-Mar,3-Jun,9.829692943
21,EXTN,Exterran Corp,3.440000057,TRUE,2015,,,,,,,,,,
22,EXETF,Extendicare Inc,4.75,FALSE,2009,,27-Jun,10-Sep,7,7,4,4,29-Jun,12-Sep,3.759881845
23,STAY,Extended Stay America Inc,12.81999969,TRUE,2013,,,,,,,,,,
24,EXROF,Exro Technologies Inc,2.160000086,TRUE,2017,,,,,,,,,,
25,EXPR,"Express, Inc.",1.070000052,FALSE,2010,,25-Aug,8-Nov,4,4,6,6,25-Aug,8-Nov,-1.422396007
26,ESRX,Express Scripts Holding Co,92.33000183,TRUE,2012,,,,,,,,,,
27,EXPO,Exponent Inc,84.70950317,FALSE,2009,,9-May,23-Jul,7,7,4,4,9-May,23-Jul,9.527046402
28,RAFFF,Explorex Resources Inc,6.304999828,TRUE,2020,,,,,,,,,,
29,EXSFF,Explor Resources Inc,$0.03 ,TRUE,,No data fetched for symbol EXSFF using YahooDailyReader,,,,,,,,,
30,RNRRF,Exploits Discovery Corp,0.479999989,TRUE,2020,,,,,,,,,,
31,EXSPF,Expert System SpA,3.450000048,TRUE,2019,,,,,,,,,,
