,symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule,adj_up_end_schedule,adj_ups,close_ups,adj_downs,close_downs,close_up_start_schedule,close_up_end_schedule,close_up_percent_avg
0,IZOZF,Izotropic Corp,0.910000026,TRUE,2019,,,,,,,,,,
1,IZNN,IZON Network Inc,0.00815,FALSE,2009,,20-Dec,5-Mar,3,3,8,8,20-Dec,5-Mar,-7.115845793
2,IZEA,IZEA Worldwide Inc,0.758099973,TRUE,2012,,,,,,,,,,
3,PHYOF,IXICO PLC,0.670000017,FALSE,2009,,3-Jul,16-Sep,1,1,10,10,3-Jul,16-Sep,9.401877962
4,XXIA,Ixia,$19.65 ,TRUE,,'Date',,,,,,,,,
5,RGSJY,IWG PLC,$40.50 ,TRUE,,No data fetched for symbol RGSJY using YahooDailyReader,,,,,,,,,
6,IWGFF,IWG PLC,4.5,FALSE,2009,,15-Feb,30-Apr,7,7,4,4,15-Feb,30-Apr,3.222273091
7,IWBB,IWEB Inc,2,TRUE,2017,,,,,,,,,,
8,IWCCF,Iwatsuka Confectionery Co Ltd,$32.20 ,TRUE,,No data fetched for symbol IWCCF using YahooDailyReader,,,,,,,,,
9,IWTNF,Iwatani Corp,40,TRUE,2020,,,,,,,,,,
10,IWAL,iWallet Corp,0.0131,TRUE,2014,,,,,,,,,,
11,IWKCF,Iwaki Co Ltd,$2.25 ,TRUE,,No data fetched for symbol IWKCF using YahooDailyReader,,,,,,,,,
12,IVH,Ivy High Income Opportunities Fund,12.44999981,TRUE,2013,,,,,,,,,,
13,IVUFF,IVU Traffic Technologies AG,17.47109985,TRUE,2020,,,,,,,,,,
14,IVGHF,IVG Immobilien AG,0.035,TRUE,2009,,,,,,,,,,
15,ISEE,IVERIC bio Inc,5.650000095,TRUE,2013,,,,,,,,,,
16,IVDA,Iveda Solutions Inc,0.319999993,FALSE,2009,,26-Jan,10-Apr,4,4,7,7,26-Jan,10-Apr,-1.566116134
17,IVPAF,Ivanhoe Mines Ltd,4.525100231,TRUE,2012,,,,,,,,,,
18,ITVPY,ITV PLC,12.75,FALSE,2010,,30-Oct,13-Jan,6,6,4,4,30-Oct,13-Jan,8.684153644
19,ITVPF,ITV PLC,1,FALSE,2009,,30-Oct,13-Jan,7,7,4,4,30-Oct,13-Jan,7.501956662
20,ITRN,Ituran Location and Control Ltd,16.62000084,FALSE,2009,,22-Mar,5-Jun,5,8,6,3,27-Oct,10-Jan,5.895531225
21,ITT,ITT Inc,72.65000153,FALSE,2009,,30-Oct,13-Jan,6,6,5,5,30-Oct,13-Jan,9.091343574
22,ITRO,Itronics Inc,0.646000028,FALSE,2009,,6-Oct,20-Dec,5,5,6,6,6-Oct,20-Dec,3.832859361
23,ITRI,Itron Inc,75.83000183,FALSE,2009,,4-Aug,18-Oct,6,6,5,5,4-Aug,18-Oct,5.467438521
24,ITMC,Itoco Inc,0.108999997,FALSE,2009,,14-Aug,28-Oct,3,3,7,7,14-Aug,28-Oct,24.78378863
25,ITTOY,ITOCHU Techno-Solutions Corp,17.02000046,TRUE,2015,,,,,,,,,,
26,ITTOF,ITOCHU Techno-Solutions Corp,$11.60 ,TRUE,,No data fetched for symbol ITTOF using YahooDailyReader,,,,,,,,,
27,ITOCY,ITOCHU Corp,51.83850098,FALSE,2009,,10-Dec,23-Feb,8,8,3,3,10-Dec,23-Feb,5.708233884
28,ITOCF,ITOCHU Corp,25.87360001,TRUE,2012,,,,,,,,,,
29,ITONF,ITO EN Ltd,19.75,TRUE,2012,,,,,,,,,,
30,ITOEF,ITO EN Ltd,59.5,FALSE,2010,,8-Oct,22-Dec,7,7,3,3,9-Feb,24-Apr,6.895068586
31,ITMPF,ITM Power PLC,4.289999962,TRUE,2013,,,,,,,,,,
32,IACAF,Ithaca Energy Inc,$1.45 ,TRUE,,No data fetched for symbol IACAF using YahooDailyReader,,,,,,,,,
33,ITEX,ITEX Corp,3.900000095,FALSE,2009,,16-Feb,1-May,5,5,6,6,10-Feb,25-Apr,8.748385302
34,ITRM,Iterum Therapeutics PLC,0.502600014,TRUE,2018,,,,,,,,,,
35,ITI,Iteris Inc,4.659999847,FALSE,2009,,1-Jul,14-Sep,8,8,3,3,1-Jul,14-Sep,7.148618642
36,ITOS,ITeos Therapeutics Inc,24.67000008,TRUE,2020,,,,,,,,,,
37,INLB,Item 9 Labs Corp,2,TRUE,2012,,,,,,,,,,
38,ITC,ITC Holdings Corp,14400,FALSE,2010,,11-Jan,26-Mar,7,7,3,3,11-Jan,26-Mar,9.42513215
39,ITUB,Itau Unibanco Holding SA,5.389999866,FALSE,2009,,29-Aug,12-Nov,6,6,5,5,29-Aug,12-Nov,6.520721552
