,symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule,adj_up_end_schedule,adj_ups,adj_downs
0,BCOMF,B Communications Ltd,2.049999952316284,True,2020.0,,,,,
1,BMRG,B Riley Principal Merger Corp II,10.569899559020996,True,2020.0,,,,,
2,BGS,B&G Foods Inc,27.523799896240234,False,2009.0,,10-30,01-13,3.0,9.0
3,BMRPF,B&M European Value Retail SA,6.638899803161621,True,2015.0,,,,,
4,BMRRY,B&M European Value Retail SA,26.479999542236328,True,2016.0,,,,,
5,SCDA,B- Scada Inc,0.019999999552965164,True,2012.0,,,,,
6,RILY,B. Riley Financial Inc,29.59000015258789,False,2009.0,,03-19,06-02,4.0,8.0
7,BEAV,B/E Aerospace Inc,$64.47 ,True,,'Date',,,,
8,BTG,B2Gold Corp,6.085000038146973,False,2009.0,,11-24,02-07,6.0,6.0
9,BTOHF,B2Holding ASA,$1.15 ,True,,No data fetched for symbol BTOHF using YahooDailyReader,,,,
10,BTOOY,B2W - Companhia Digital,27.920000076293945,True,2012.0,,,,,
11,BZWHF,B2W - Companhia Digital,$12.34 ,True,,No data fetched for symbol BZWHF using YahooDailyReader,,,,
12,BABB,BAB Inc,0.5600000023841858,False,2009.0,,11-19,02-02,5.0,7.0
13,BW,Babcock & Wilcox Enterprises Inc,2.759999990463257,True,2015.0,,,,,
14,BCKIF,Babcock International Group PLC,3.5299999713897705,True,2012.0,,,,,
15,BCKIY,Babcock International Group PLC,7.900000095367432,True,2014.0,,,,,
16,BBYLF,Babylon Ltd,1.1863360404968262,True,2020.0,,,,,
17,BCLMF,Bacanora Lithium PLC,0.46000000834465027,True,2013.0,,,,,
18,BFEHF,Bachem Holding AG,418.0,True,2011.0,,,,,
19,PRYNF,Backstageplay Inc,0.0640999972820282,False,2009.0,,12-29,03-14,9.0,3.0
20,BCCEF,Bactech Environmental Corp,0.014999999664723873,True,2012.0,,,,,
21,BTCA,Bactolac Pharmaceutical Inc,120000.0,True,2012.0,,,,,
22,BADFF,Badger Daylighting Ltd,27.190000534057614,False,2009.0,,09-25,12-09,7.0,5.0
23,BMI,Badger Meter Inc,77.18000030517578,False,2009.0,,10-20,01-03,6.0,6.0
24,BPMI,Badger Paper Mills Inc,0.020400000736117363,True,2012.0,,,,,
25,BADG,Badger State Ethanol LLC,"$5,000.00 ",True,,No data fetched for symbol BADG using YahooDailyReader,,,,
26,BADGA,Badger State Ethanol LLC,"$4,625.00 ",True,,No data fetched for symbol BADGA using YahooDailyReader,,,,
27,BAESF,BAE Systems PLC,6.210000038146973,False,2009.0,,11-15,01-29,6.0,6.0
28,BAESY,BAE Systems PLC,25.10000038146973,False,2009.0,,11-16,01-30,6.0,6.0
29,BDVB,Bagger Dave's Burger Tavern Inc,0.05000000074505806,True,2017.0,,,,,
30,BSHPY,Bahamas Petroleum Co PLC,$1.06 ,True,,No data fetched for symbol BSHPY using YahooDailyReader,,,,
31,BSHPF,Bahamas Petroleum Co PLC,0.035999998450279236,True,2013.0,,,,,
32,BCCMY,BAIC Motor Corp Ltd,4.420000076293945,True,2018.0,,,,,
33,BMCLF,BAIC Motor Corp Ltd,0.5,True,2018.0,,,,,
34,BIDU,Baidu Inc,143.3300018310547,False,2009.0,,08-23,11-06,6.0,6.0
35,BCSF,Bain Capital Specialty Finance Inc,10.770000457763672,True,2018.0,,,,,
36,BMRMF,Bains de Mer Monaco,73.0,True,2012.0,,,,,
37,BAOOF,BAIOO Family Interactive Ltd,$0.10 ,True,,No data fetched for symbol BAOOF using YahooDailyReader,,,,
